scenario_id,scenario_name,hit_rate_at_1,ndcg_at_1,hit_rate_at_5,ndcg_at_5,hit_rate_at_10,ndcg_at_10,hit_rate_at_20,ndcg_at_20,assigned_pct,unassigned_students,capacity_utilization_pct,filled_projects_pct,mean_student_rank_assigned,mrr_assigned,blocking_pairs
base,Base,0.02,0.02,0.0733,0.0475,0.1533,0.0731,0.3133,0.1141,88.67,17,44.33,28.0,10.67,0.2177,139
recsys_only,RecSys-only,0.4133,0.4133,0.8,0.6343,0.9267,0.6756,0.9933,0.6928,82.67,26,41.33,32.0,2.4,0.5833,211
recsys_prof_rank,RecSys + Prof. Rank,0.52,0.52,0.8667,0.7227,0.9667,0.7564,0.9933,0.7636,86.67,20,43.33,36.0,2.67,0.5142,58
hybrid,Hybrid,0.36,0.36,0.8,0.608,0.9267,0.6492,0.9933,0.6665,88.0,18,44.0,37.0,2.44,0.5534,87
stable_matching,Stable Matching,0.4133,0.4133,0.8,0.6343,0.9267,0.6756,0.9933,0.6928,85.33,22,42.67,36.0,2.27,0.5855,0
